id,상세URL,가게,주소,카테고리,리본개수,레드리본 선정,서울 2025 선정,라벨,이미지URL,이미지파일,소개,X좌표,Y좌표,LLM요약,RAG텍스트,메타데이터
43346,https://www.bluer.co.kr/restaurants/43346,녹,서울특별시 중구 다산로21길 11 (신당동) 1층,"돼지고기구이, 소고기구이",0,N,N,,https://www.bluer.co.kr/images/bluer_77bad7fe77874e54891bde520361483a.jpg,images\43346_녹.jpg,"다시마 숙성을 거친 1등급 암퇘지만을 선보이는 고깃집. 다양한 부위의 돼지고기를 맛볼 수 있으며, 소고기도 준비되어 있다. 연탄불에 직원이 직접 고기를 구워 주어 불향을 느낄 수 있다. 비법 양념장으로 맛을 낸 냉쫄면과 특히 궁합이 좋다는 평이 많다.",127.0116037,37.55798282,"녹은 서울 중구 신당동에 위치한 프리미엄 고깃집으로, 2024년 3월 7일에 개업했습니다. 이곳은 다시마로 숙성한 1등급 암퇘지만을 사용하여 돼지고기의 다양한 부위를 제공하며, 소고기 메뉴도 함께 준비되어 있습니다. 모든 고기는 연탄불에서 직원이 직접 구워 불향을 더해주며, 고기와 잘 어울리는 비법 양념장 냉쫄면이 인기입니다. 대표 메뉴로는 목살, 삼겹살, 가브리살, 녹돼지한판, 꽃등심, 육회 등이 있으며, 비빔쫄면, 냉쫄면, 차돌된장술밥 등 식사 메뉴도 마련되어 있습니다. 가격대는 8,000원부터 59,000원까지로 중간~높은 수준입니다. 매장은 연중무휴로 운영되며, 영업시간은 매일 11:30~23:00(마지막 주문 22:00)입니다. 전 좌석은 일반 홀이며, 프라이빗룸이나 별도의 라벨링, 레드리본 등은 없습니다. 국내산 프리미엄 돈육을 사용해 최고의 퀄리티를 추구하는 곳으로, 아직 공식 리뷰는 없으나, 고기와 면 요리 모두에서 긍정적인 평가가 기대됩니다.","국내산 1등급 암퇘지를 다시마로 숙성해 연탄불에 직접 구워내는 프리미엄 한식 고깃집입니다. 다양한 돼지고기와 소고기 메뉴를 제공하며, 직원이 고기를 구워주어 불향과 최상의 식감을 경험할 수 있습니다. 비법 양념장 냉쫄면 등 면 요리도 인기 있으며, 고기와의 조화가 뛰어납니다. 전통 한식의 정체성을 유지하면서도 깔끔하고 현대적인 분위기에서 고품질의 고기와 식사를 즐길 수 있습니다.","{'budget_range': '중', 'spicy_available': 'O', 'vegetarian_options': 'X', 'main_ingredients_list': ['기타', '육류'], 'low_level_category': '돼지고기구이, 소고기구이', 'suitable_for': ['모임', '회식', '프리미엄', '고기', '현대적', '연탄불', '한식'], 'food_type_list': ['면류', '밥류', '고기류'], 'temperature_list': ['온', '생'], 'high_level_category': '한식'}"
36733,https://www.bluer.co.kr/restaurants/36733,금성관나주곰탕,서울특별시 중구 남대문로 29 (남대문로3가) 청남빌딩 1층,"곰탕, 수육",0,N,N,,https://www.bluer.co.kr/images/bluer_b44b939311dc470caba82287db06d5df.jpg,images\36733_금성관나주곰탕.jpg,"맑은 스타일의 나주식 곰탕 전문점. 곰탕은 토렴하여 내어주며, 밥도 무한정 리필해준다. 오후 2시 이전에는 동동주도 무료로 맛볼 수 있다. 밑반찬으로 내어주는 꼴뚜기 젓갈이 별미다.",126.9788438,37.56142538,"금성관나주곰탕은 서울 중구 남대문로에 위치한 2011년 오픈한 나주식 곰탕 전문점입니다. 이곳은 맑은 국물의 나주곰탕을 비롯해 특곰탕, 갈비탕, 함평육회, 삭힌홍어회, 수육(소/중/대) 등 다양한 한식 메뉴를 제공합니다. 곰탕은 전통 방식인 토렴으로 내어주며, 밥은 무한 리필이 가능합니다. 오후 2시 이전 방문 시 동동주도 무료로 제공되어 특별한 경험을 할 수 있습니다. 밑반찬으로 제공되는 꼴뚜기 젓갈도 별미로 손꼽힙니다. 17시간 정성으로 우려낸 맑고 깊은 맛의 곰탕과 따뜻한 분위기가 특징이며, 아침식사도 가능해 이른 시간 방문객도 많습니다. 영업시간은 매일 08:00~22:00(명절 당일 휴무)이고, 대화주차장(유료) 이용이 가능합니다. 메뉴 가격대는 10,000원~45,000원으로 중간 수준이며, 모든 음식은 맵지 않고(맵기 X), 육류와 어류 위주의 메뉴로 구성되어 있습니다. 채식 메뉴는 별도로 제공하지 않습니다. 인스타그램(@slow_naju)을 통해 소식을 접할 수 있고, 가족, 직장인, 친구 등 다양한 고객층이 찾는 정갈한 한식당입니다.","맑은 국물의 나주식 곰탕과 전통 한식 메뉴를 전문으로 하는 식당입니다. 곰탕은 토렴 방식으로 제공되어 깊고 따뜻한 맛이 특징이며, 밥 무한 리필과 오후 2시 이전 동동주 무료 제공 등 특별한 서비스가 있습니다. 17시간 정성으로 우려낸 진하고 깔끔한 맛, 그리고 밑반찬으로 나오는 꼴뚜기 젓갈이 별미입니다. 아침식사가 가능하고, 가족, 직장인, 친구 등 다양한 모임에 적합한 따뜻하고 정갈한 분위기의 한식당입니다.","{'budget_range': '중', 'spicy_available': 'X', 'vegetarian_options': 'X', 'main_ingredients_list': ['육류', '어류'], 'low_level_category': '곰탕, 수육', 'suitable_for': ['아침식사', '가족', '직장인', '친구모임', '따뜻한', '정갈한'], 'food_type_list': ['국물류', '고기류', '해산물류'], 'temperature_list': ['온', '생'], 'high_level_category': '한식'}"
44067,https://www.bluer.co.kr/restaurants/44067,커피가게동경(연희점),서울특별시 서대문구 연희맛로 23 (연희동) 사러가쇼핑,커피전문점,0,N,N,,https://www.bluer.co.kr/images/es_053e25ea64a343a3acd550391f539af7.jpg,images\44067_커피가게동경(연희점).jpg,"다양한 싱글오리진 핸드드립과 아인슈페너가 인기 있는 커피전문점. 라이트 로스팅 블렌드와 중배전, 강배전 블렌드가 있고 시즌에 따른 다양한 싱글오리진 커피가 준비되어 있다. 일본 깃사텐 커피의 전성시대를 연상시키는 아름다운 빈티지 커피 잔으로 꾸며진 공간이다.",126.9296612,37.56715459,"커피가게동경(연희점)은 서울 서대문구 연희맛로 23에 위치한 커피전문점으로, 다양한 싱글오리진 핸드드립 커피와 아인슈페너가 대표 인기 메뉴입니다. 라이트 로스팅 블렌드부터 중·강배전 블렌드, 시즌별로 선보이는 싱글오리진 커피 등 폭넓은 커피 선택지를 제공합니다. 일본 전통 다방(깃사텐)을 연상시키는 아름다운 빈티지 커피 잔과 인테리어로 꾸며진 공간에서 여유롭게 커피를 즐길 수 있습니다. 주요 메뉴로는 아인슈페너(6,500원), 에스프레소(5,000원), 아메리카노(5,000원), 카페라테(5,500원), 아몬드모카자바(7,000원), 스위트카푸치노(6,500원), 레몬에이드(6,500원), 핸드드립(가격 변동)이 있으며, 가격대는 5,000~7,000원으로 형성되어 있습니다. 영업시간은 매일 08:30~20:30(마지막 주문 20:00)이며, 첫째·셋째주 월요일은 휴무입니다. 블루리본 선정이나 레드리본 수상 이력은 없으나, 독특한 분위기와 커피 품질로 방문객에게 좋은 평가를 받고 있습니다.","다양한 싱글오리진 핸드드립과 아인슈페너가 인기인 커피전문점. 라이트 로스팅 블렌드부터 강배전까지, 시즌별 싱글오리진 커피를 제공하며 일본 깃사텐 커피의 전성시대를 떠올리게 하는 아름다운 빈티지 커피 잔과 인테리어로 꾸며진 공간. 감각적이고 클래식한 분위기에서 여유롭게 커피를 즐기기 좋은 곳.","{'budget_range': '중', 'spicy_available': 'X', 'vegetarian_options': 'X', 'main_ingredients_list': ['기타'], 'low_level_category': '커피전문점', 'suitable_for': ['감각적', '클래식', '여유로운', '커피애호가', '빈티지', '조용한', '데이트'], 'food_type_list': ['음료'], 'temperature_list': ['기타'], 'high_level_category': '디저트류'}"
31543,https://www.bluer.co.kr/restaurants/31543,커피에스페란토,서울특별시 강남구 남부순환로355길 17 (도곡동) 1층,커피전문점,0,N,N,,https://www.bluer.co.kr/images/bluer_09eadd2d88444f4a82bf0dea2863bc89.jpg,images\31543_커피에스페란토.jpg,벽에 걸려있는 갤러리가 분위기를 사로잡는 스페셜티 커피 전문점. 다양한 작품이 전시되어 있으며 정기적으로 바뀐다. 세련되고 편안한 공간에서 커피 한 잔의 여유를 만끽하기에 좋다.,127.0355834,37.48598701,"커피에스페란토는 서울 강남구 도곡동에 위치한 스페셜티 커피 전문점으로, 2016년 10월에 개업했습니다. 이 카페의 가장 큰 특징은 벽에 다양한 미술 작품이 갤러리처럼 전시되어 있으며, 전시 작품이 정기적으로 교체되어 방문할 때마다 새로운 분위기를 느낄 수 있다는 점입니다. 세련되고 편안한 인테리어 덕분에 커피 한 잔의 여유를 즐기기에 좋은 공간입니다. 메뉴는 아메리카노(3,500원), 카페라테(4,300원), 허브티, 제주말차라테, 초코라테, 강남밀크티, 단팥라테, 생딸기라테, 달고나라테, 생과일주스(각 5,000원) 등 다양한 커피와 라테, 티, 주스류가 있으며, 디저트로 마카롱(2,500원)과 요거트(4,000원)도 제공됩니다. 가격대는 2,500원에서 5,300원 사이로 합리적입니다. 영업시간은 평일 08:00~21:00, 주말 10:00~21:00로 연중무휴입니다. 미술 작품이 전시된 아늑한 분위기 덕분에 혼자 여유를 즐기거나 친구, 연인과 함께 방문하기에 적합합니다. 맵거나 채식 특화 메뉴는 없으며, 주재료 정보는 특별히 명시되어 있지 않습니다.","벽에 갤러리처럼 다양한 미술 작품이 전시되어 있고, 전시가 정기적으로 바뀌는 세련되고 편안한 분위기의 스페셜티 커피 전문점입니다. 예술적 감성과 현대적인 인테리어가 어우러져 여유롭게 커피와 디저트를 즐기기에 좋은 공간입니다.","{'budget_range': '저', 'spicy_available': 'X', 'vegetarian_options': 'X', 'main_ingredients_list': ['기타'], 'low_level_category': '커피전문점', 'suitable_for': ['아늑한', '예술적', '혼자', '친구와', '연인과', '여유로운', '커피타임', '갤러리감상'], 'food_type_list': ['디저트류', '음료'], 'temperature_list': ['기타'], 'high_level_category': '디저트류'}"
49625,https://www.bluer.co.kr/restaurants/49625,연흔로스터스,서울특별시 종로구 자하문로7길 29 (체부동) 1층,커피전문점,0,N,N,,https://www.bluer.co.kr/images/es_9a2ac52f7460490485aeece1ea49b12c.jpg,images\49625_연흔로스터스.jpg,"핸드드립 커피를 주력으로 선보이는 카페로, 원두를 직접 로스팅한다. 대표 커피는 사유블렌드로, 다크초콜릿 같은 묵직함과 산미가 어우러진다. 이 외에도 거문도에서 재배한 쑥으로 만든그라니타와 크림라테를 추천한다. 목재 인테리어와 한국적인 소품이 조화롭게 어우러져 아늑한 분위기를 느낄 수 있다.",126.9702978,37.57902574,"연흔로스터스는 서울 종로구 자하문로7길에 위치한 커피 전문 카페로, 원두를 직접 로스팅하여 핸드드립 커피를 주력으로 선보입니다. 대표 메뉴는 '사유블렌드'로, 다크초콜릿의 묵직함과 산미가 어우러진 풍미가 특징입니다. 이외에도 거문도에서 재배한 쑥으로 만든 '사유그라니타'와 '쑥크림라테', '거문도쑥차' 등 독특한 음료를 제공합니다. 기본 커피류로는 에스프레소, 아메리카노, 카페라테, 필터커피 등이 있으며, 메뉴 가격대는 5,800원에서 13,000원 사이입니다. 매장은 목재 인테리어에 한국적인 소품들이 조화를 이루어 아늑하고 편안한 분위기를 자랑합니다. 영업시간은 월/수/목 08:30~19:00, 금 08:30~21:00, 토/일 11:00~21:00로, 매주 화요일과 명절 당일은 휴무입니다. 현재 블루리본, 레드리본, 서울2025 등의 외부 선정 이력은 없으며, 리뷰는 아직 등록되어 있지 않습니다. 최근 2024년 12월 12일에 개업한 신생 카페로, 인스타그램(@yeonheun_roasters) 계정을 운영하고 있습니다.","연흔로스터스는 원두를 직접 로스팅하여 핸드드립 커피를 주력으로 선보이는 카페입니다. 다크초콜릿같은 묵직함과 산미가 어우러진 사유블렌드가 대표 메뉴이며, 거문도 쑥으로 만든 그라니타와 크림라테 등 독창적인 음료도 제공합니다. 목재 인테리어와 한국적인 소품이 어우러져 아늑하고 따뜻한 분위기를 느낄 수 있어, 커피 애호가와 감성적인 공간을 선호하는 이들에게 추천할 만합니다.","{'budget_range': '중', 'spicy_available': 'X', 'vegetarian_options': 'X', 'main_ingredients_list': ['기타'], 'low_level_category': '커피전문점', 'suitable_for': ['아늑한', '감성적인', '커피애호가', '조용한', '데이트'], 'food_type_list': ['기타', '음료'], 'temperature_list': ['상', '기타', '온'], 'high_level_category': '디저트류'}"
44943,https://www.bluer.co.kr/restaurants/44943,아로마로스터리,서울특별시 강서구 마곡중앙8로5길 63 (마곡동) 디엠프라자,커피전문점,0,N,N,,https://www.bluer.co.kr/images/bluer_4cd053bcb5584cc9b16fc3200e665738.jpg,images\44943_아로마로스터리.jpg,"여러 잔의 커피를 한 번에 추출하는 배치브루라는 방식을 사용해, 맛과 향이 뛰어난 스페셜티 커피를 합리적인 가격으로 즐길 수 있는 커피 전문점이다. 시즌 별로 다양한 원두를 맛볼 수 있으며, 아이스로 주문 시에 얼음컵이 따로 나와서 따뜻한 커피도 동시에 즐길 수 있다.",126.8384227,37.56661646,"아로마로스터리는 서울 강서구 마곡동 디엠프라자에 위치한 스페셜티 커피 전문점으로, 2024년 4월 3일에 개업했습니다. 이곳은 여러 잔의 커피를 한 번에 추출하는 배치브루(Batch Brew) 방식을 활용해, 뛰어난 맛과 향의 스페셜티 커피를 합리적인 가격(3,000~5,500원)에 제공합니다. 시즌마다 다양한 원두를 경험할 수 있으며, 아이스 커피 주문 시 얼음컵이 별도로 제공되어 따뜻한 커피와 동시에 즐길 수 있는 점이 특징입니다. 주요 메뉴로는 아몬드비스코티, 배치브루, 밀크커피, 오트밀크커피, 핸드브루 등이 있으며, 핸드브루를 통해 각기 다른 원두의 개성과 감동을 전달하고자 노력합니다. 매일 즐기기 좋은 설득력 있는 커피를 추구하며, 스페셜티 커피의 대중화에 앞장서고 있습니다. 영업시간은 평일 오전 8시부터 오후 6시, 토요일은 오후 12시부터 6시까지이며, 일요일은 휴무입니다. 깔끔하고 합리적인 분위기에서 커피를 즐기고 싶은 고객에게 적합하며, 현재까지 등록된 독자 리뷰는 없습니다.","스페셜티 커피를 합리적인 가격에 제공하는 커피 전문점으로, 배치브루와 핸드브루 등 다양한 추출 방식을 통해 개성 있는 커피 경험을 선사합니다. 시즌별 원두로 매일 새롭게 즐길 수 있으며, 따뜻한 커피와 아이스 커피를 동시에 즐길 수 있는 세심한 서비스가 특징입니다. 스페셜티 커피의 대중화와 설득력 있는 맛을 추구하는 곳으로, 일상 속에서 편안하게 고품질 커피를 즐기고 싶은 이들에게 추천되는 매장입니다.","{'budget_range': '저', 'spicy_available': 'X', 'vegetarian_options': 'X', 'main_ingredients_list': ['기타'], 'low_level_category': '커피전문점', 'suitable_for': ['가성비', '일상', '합리적', '스페셜티커피', '깔끔한', '혼커', '커피애호가'], 'food_type_list': ['음료'], 'temperature_list': ['기타'], 'high_level_category': '디저트류'}"
25536,https://www.bluer.co.kr/restaurants/25536,소문난명품잔치국수,서울특별시 동작구 노량진로26길 11 (본동),"콩국수, 잔치국수, 비빔국수",0,N,N,,https://www.bluer.co.kr/images/25536_thumb.jpg,images\25536_소문난명품잔치국수.jpg,"깔끔한 맛의 국수를 맛볼 수 있는 집. 국수는 잘 숙성시킨 중면을 사용해, 적당한 굵기를 자랑한다. 멸치를 비롯한 9가지 재료로 깊은 맛을 낸 잔치국수와 새콤한 맛이 일품인 비빔국수, 매일 아침 콩을 갈아 만든 콩국수 중 선택할 수 있다. 가격도 저렴한 편.",126.9543343,37.51180161,"소문난명품잔치국수는 서울 동작구 노량진로26길 11에 위치한 국수 전문점으로, 깔끔하고 깊은 맛의 국수를 합리적인 가격에 즐길 수 있는 곳입니다. 메뉴는 잔치국수, 비빔국수, 콩국수로 구성되어 있으며, 잔치국수는 멸치를 비롯한 9가지 재료로 우려낸 진한 육수와 잘 숙성된 중면이 특징입니다. 비빔국수는 새콤한 양념이 일품이며, 콩국수는 매일 아침 직접 갈아 만든 콩으로 고소한 맛을 자랑합니다. 가격은 3,000원부터 6,000원까지로 매우 저렴한 편입니다. 모든 국수는 일반과 곱빼기(대) 사이즈로 선택 가능하며, 맵기 선택이 가능한 비빔국수를 제외하면 대부분 맵지 않은 메뉴로 구성되어 있습니다. 매장은 9호선 노들역 3번 출구에서 도보로 접근이 용이하며, 오전 10시부터 오후 7시까지 영업하고 명절 연휴에는 휴무입니다. 가게 앞에 소규모 주차가 가능합니다. 전통적인 한식 국수집의 정체성을 유지하며, 깨끗한 맛과 가성비, 빠른 식사가 강점입니다. 리뷰와 평가는 아직 등록되어 있지 않습니다.","깔끔하고 전통적인 한식 국수 전문점으로, 잘 숙성된 중면과 9가지 재료로 우려낸 깊은 맛의 잔치국수, 새콤한 비빔국수, 매일 아침 직접 간 콩으로 만든 고소한 콩국수를 합리적인 가격에 제공하는 곳입니다. 빠르고 부담 없는 식사, 가성비 좋은 한 끼, 전통적인 분위기의 소박한 식사 공간에 적합합니다.","{'budget_range': '저', 'spicy_available': 'O', 'vegetarian_options': 'X', 'main_ingredients_list': ['기타'], 'low_level_category': '콩국수, 잔치국수, 비빔국수', 'suitable_for': ['가성비', '빠른식사', '전통적인', '소박한', '혼밥', '일상식사'], 'food_type_list': ['국물류', '면류'], 'temperature_list': ['온', '냉'], 'high_level_category': '한식'}"
36645,https://www.bluer.co.kr/restaurants/36645,갈비세상,서울특별시 서초구 남부순환로350길 17 (양재동),소고기구이,0,N,N,,https://www.bluer.co.kr/assets/image/restaurant/img_restaruant_no_image.png?v=3,images\36645_갈비세상.png,한우를 숯불에 구워 먹는 소고기구이전문점. 적당한 두께로 잘라 육즙이 가득한 고기는 소금을 곁들이면 고소함을 더욱 잘 느낄 수 있다. 아삭한 상추 무침 또는 구운 아스파라거스와 함께 먹어도 좋다.,127.0358743,37.48401453,"갈비세상은 서울 서초구 양재동에 위치한 한우 숯불구이 전문점으로, 2005년 3월에 개업해 오랜 기간 지역 주민과 방문객에게 사랑받아온 소고기구이집입니다. 대표 메뉴는 한우갈비살(150g, 46,000원), 한우특등심(120g, 55,000원), 한우살치살(120g, 62,000원), 한우육회(200g, 35,000원) 등 고급 한우 부위를 숯불에 구워내어, 두툼하게 썬 고기에서 육즙과 고소함을 제대로 느낄 수 있는 것이 특징입니다. 고기는 소금에 곁들여 먹거나, 아삭한 상추 무침 또는 구운 아스파라거스와 함께 즐기면 더욱 맛있습니다. 식사 메뉴로는 된장찌개(6,000원), 누룽지(7,000원)도 제공되어 식사의 마무리까지 신경을 썼습니다. 전체 메뉴 가격대는 6,000원~62,000원으로, 고급 한우를 즐기기에 적합한 중~고가의 레스토랑입니다. 매장은 연중무휴로 월~일요일 09:30~01:00(다음날)까지 영업하며, 단체 모임이나 가족 식사, 소규모 모임 등 다양한 상황에 적합합니다. 현재 블루리본, 레드리본 등 외부 평가에는 선정되지 않았으나, '블루리본 Pick'으로 소개되고 있습니다. 채식 및 매운 음식 옵션은 없으며, 메뉴는 한식 중심의 고기류와 국물류로 구성되어 있습니다.","한우를 숯불에 구워내는 소고기구이 전문점으로, 두툼하게 썬 고기에서 풍부한 육즙과 고소함을 느낄 수 있습니다. 소금, 상추 무침, 구운 아스파라거스 등 곁들임과 함께 다양한 한식 고기 메뉴를 즐길 수 있으며, 전통적인 한우구이의 정취와 함께 가족, 소규모 모임, 식사 중심의 분위기에 적합한 한식 레스토랑입니다.","{'budget_range': '고', 'spicy_available': 'X', 'vegetarian_options': 'X', 'main_ingredients_list': ['기타', '육류'], 'low_level_category': '소고기구이', 'suitable_for': ['가족모임', '식사모임', '전통적인', '한우구이', '소규모모임'], 'food_type_list': ['국물류', '기타', '고기류'], 'temperature_list': ['온', '상', '생'], 'high_level_category': '한식'}"
45355,https://www.bluer.co.kr/restaurants/45355,운천막창구이,서울특별시 노원구 상계로3길 38-4 (상계동),돼지고기구이,0,N,N,,https://www.bluer.co.kr/assets/image/restaurant/img_restaruant_no_image.png?v=3,images\45355_운천막창구이.png,"돼지막창을 비롯해 다양한 특수부위를 슻불에 구워 즐길 수 있는 곳이다. 오돌갈비가 별미로, 갈빗살 속에서 오돌뼈가 부드럽게 씹히는 특별한 맛을 즐길수 있다. 노포느낌 가득한 분위기 맛집이다.",127.062779,37.65780445,"운천막창구이는 서울 노원구 상계동에 위치한 노포 분위기의 돼지고기구이 전문점입니다. 이곳에서는 돼지막창을 비롯해 오돌갈비, 돼지껍데기, 닭발, 삼겹살, 목살, 꼬들살, 운천불고기, 갈매기살, 뽈살, 소갈비살 등 다양한 특수부위와 고기류를 숯불에 구워 즐길 수 있습니다. 특히 오돌갈비는 갈빗살 속 오돌뼈가 부드럽게 씹히는 특별한 맛으로 별미로 꼽힙니다. 모든 메뉴는 맵지 않으며, 주로 육류를 사용하고 닭발 메뉴만 조류가 포함되어 있습니다. 대표 메뉴 가격대는 1만~1만7천원으로, 합리적인 중간 가격대입니다. 실내는 전통적인 노포 느낌으로 꾸며져 있어 편안하고 소박한 분위기에서 식사를 즐길 수 있습니다. 영업시간은 월~목 17:00~21:30(마지막 주문 20:20), 금~토 17:00~22:30(마지막 주문 21:30)이며, 일요일은 휴무입니다. 블루리본 서베이 선정 이력은 없으나, 다양한 고기 메뉴와 전통적인 분위기로 지역 주민들에게 사랑받는 맛집입니다.","노포 감성의 돼지고기구이 전문점으로, 숯불에 다양한 특수부위를 구워내는 한식 고깃집입니다. 오돌갈비와 돼지막창이 별미로 꼽히며, 전통적인 소박함과 편안한 분위기에서 고기를 즐길 수 있습니다. 한식 고기류를 중심으로 하며, 가족, 친구, 동료들과 부담 없이 방문하기 좋은 곳입니다.","{'budget_range': '중', 'spicy_available': 'X', 'vegetarian_options': 'X', 'main_ingredients_list': ['육류', '조류'], 'low_level_category': '돼지고기구이', 'suitable_for': ['노포', '전통적인', '편안한', '가족', '친구', '동료', '모임'], 'food_type_list': ['고기류'], 'temperature_list': ['온'], 'high_level_category': '한식'}"
46022,https://www.bluer.co.kr/restaurants/46022,비전스트롤(연희점),서울특별시 서대문구 연희로11길 57 (연희동),커피전문점,0,N,N,,https://www.bluer.co.kr/images/es_0549d4a59770463bb76c1b93e22db94a.jpg,images\46022_비전스트롤(연희점).jpg,"꿈속을 거닌다는 의미의 비전스트롤의 연희동 매장. 계절마다 다른 꽃, 락앤롤 음악, 그리고 빈틈없이 채워진 빈티지 소품들로 구성된 이 작은 매장은 지금 서울에서 가장 뜨거운 스페셜티커피 공간 중 하나로 손꼽힌다. 추천하는 커피는 기본 브루잉 커피와 창작 메뉴인 라임 에스프레소. 단순히 커피라는 틀을 넘어, 디저트와 칵테일의 경계까지 넘나든다.",126.9287333,37.56886196,"비전스트롤(연희점)은 서울 서대문구 연희동에 위치한 스페셜티 커피전문점으로, '꿈속을 거닌다'는 의미처럼 매장은 계절마다 바뀌는 꽃 장식, 락앤롤 음악, 그리고 다양한 빈티지 소품들로 독특하고 감각적인 분위기를 자랑합니다. 공간은 아담하지만, 서울에서 가장 주목받는 스페셜티 커피 공간 중 하나로 손꼽히고 있습니다. 주요 메뉴로는 기본 브루잉 커피와 창작 메뉴인 라임 에스프레소, 카페라테, 진밀크, 아메리카노, 에스프레소, 필터커피, 카카오모카, 허니콤브 등이 있으며, 디저트로는 피낭시에가 제공됩니다. 가격대는 3,000원부터 10,000원까지로 중간 정도의 예산에 해당하며, 커피뿐 아니라 디저트, 칵테일의 경계까지 넘나드는 다양한 메뉴를 경험할 수 있습니다. 매장은 월요일과 목~일요일 오전 9시부터 오후 6시까지 운영하며, 매주 화요일과 수요일은 휴무입니다. 공식 인스타그램과 홈페이지를 통해 추가 정보를 확인할 수 있습니다. 맵기 있는 메뉴는 없으며, 채식 또는 비건 메뉴는 별도로 제공하지 않습니다. 분위기와 창의성, 트렌디함을 중시하는 커피 애호가, 감각적인 공간을 선호하는 고객에게 추천할 만한 곳입니다.","비전스트롤(연희점)은 꿈속을 거니는 듯한 분위기의 스페셜티 커피공간입니다. 계절마다 바뀌는 꽃 장식, 락앤롤 음악, 빈티지 소품들로 감각적이고 트렌디한 정체성을 지니고 있습니다. 브루잉 커피와 라임 에스프레소 등 창의적인 메뉴를 제공하며, 커피의 틀을 넘어 디저트와 칵테일의 경계까지 넘나드는 자유롭고 창조적인 공간입니다. 감각적인 인테리어와 음악, 독특한 메뉴 구성으로 커피 애호가와 새로운 경험을 원하는 고객에게 어울립니다.","{'budget_range': '중', 'spicy_available': 'X', 'vegetarian_options': 'X', 'main_ingredients_list': ['기타'], 'low_level_category': '커피전문점', 'suitable_for': ['트렌디', '감각적인', '데이트', '커피 애호가', '창의적', '자유로운', '분위기 좋은'], 'food_type_list': ['음료', '디저트류'], 'temperature_list': ['기타', '상'], 'high_level_category': '디저트류'}"
