가게,주소,카테고리,리본개수,레드리본 선정,서울 2025 선정,라벨
명월관,서울특별시 광진구 워커힐로 177 (광장동) 쉐라톤그랜드워커힐호텔,"소갈비, 소고기구이, 한우오마카세",3,Y,Y,레드리본 선정 서울 2025 선정
무궁화,서울특별시 중구 을지로 30 (소공동) 롯데호텔 본관 38층,모던한식,3,N,Y,서울 2025 선정
스시조,서울특별시 중구 소공로 106 (소공동) 웨스틴조선호텔 20층,스시,3,N,Y,서울 2025 선정
도림,서울특별시 중구 을지로 30 (소공동) 롯데호텔서울 본관 37층,일반중식,3,Y,Y,레드리본 선정 서울 2025 선정
도원,서울특별시 중구 소공로 119 (태평로2가) 더플라자 3층,"북경식중식, 일반중식",3,Y,Y,레드리본 선정 서울 2025 선정
팔선,서울특별시 중구 동호로 249 (장충동2가) 서울신라호텔 2층,일반중식,3,Y,Y,레드리본 선정 서울 2025 선정
콘티넨탈,서울특별시 중구 동호로 249 (장충동2가) 서울신라호텔 23층,프랑스식,3,Y,Y,레드리본 선정 서울 2025 선정
아리아께,서울특별시 중구 동호로 249 (장충동2가) 서울신라호텔 2층,"일식, 스시",3,N,Y,서울 2025 선정
테이블포포,서울특별시 용산구 대사관로31길 25-12 (한남동) 보보스한남 5층,이탈리아식,3,N,Y,서울 2025 선정
제로컴플렉스,서울특별시 용산구 서빙고로59길 11-8 (서빙고동),"컨템포러리, 프랑스식",3,N,Y,서울 2025 선정
본앤브레드,서울특별시 성동구 마장로42길 1 (마장동),"한우오마카세, 소고기구이",3,Y,Y,레드리본 선정 서울 2025 선정
더그린테이블,서울특별시 종로구 율곡로 83 (원서동) 아라리오 뮤지엄 5층,프랑스식,3,Y,Y,레드리본 선정 서울 2025 선정
라망시크레,서울특별시 중구 퇴계로 67 (회현동1가) 레스케이프 호텔 26층,"컨템포러리, 프랑스식",3,N,Y,서울 2025 선정
온지음레스토랑,서울특별시 종로구 효자로 49 (창성동) 4층,모던한식,3,N,Y,서울 2025 선정
리치몬드과자점,서울특별시 마포구 월드컵북로 86 (성산동),베이커리,2,N,Y,서울 2025 선정
미로식당,서울특별시 마포구 와우산로30길 80 (창전동),"모던한식, 한식주점",2,N,Y,서울 2025 선정
한남북엇국,서울특별시 용산구 독서당로 65-7 (한남동),"한식주점, 일반한식, 북엇국",2,N,Y,서울 2025 선정
